@relation Titanic_test-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R5_predicted

@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute AgeGroup {NK,Adult,Child,Youth,Teen,Baby,Senior}
@attribute Relatives {None,Few,Many}
@attribute FareGroupFrequencyBin {1,2,3,4,5,6}
@attribute Embarked {S,C,Q}
@attribute 'prediction margin' numeric
@attribute 'predicted Survived' {0,1}
@attribute Survived {0,1}

@data
1,male,Child,Few,1,S,0.619377,0,?
1,male,Adult,Few,1,S,0.619377,0,?
3,male,Adult,Few,1,S,0.619377,0,?
3,male,Youth,None,1,S,0.619377,0,?
3,male,Child,None,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,NK,None,1,S,0.619377,0,?
3,female,Adult,Few,1,Q,-0.419355,1,?
3,female,Adult,None,1,S,-0.419355,1,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,NK,Few,1,S,0.619377,0,?
3,male,NK,Few,1,C,0.619377,0,?
3,female,Adult,Few,1,C,-0.419355,1,?
3,male,NK,Few,1,C,0.619377,0,?
3,male,Adult,Few,1,C,0.619377,0,?
3,male,Adult,Few,1,C,0.619377,0,?
3,male,NK,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,NK,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,Adult,None,1,C,0.619377,0,?
3,female,Teen,Few,1,C,-0.419355,1,?
3,male,Teen,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,male,Adult,Few,1,C,0.619377,0,?
3,male,Child,Few,1,C,0.619377,0,?
3,female,Adult,Few,1,C,-0.419355,1,?
3,male,Adult,Few,1,S,0.619377,0,?
3,male,Adult,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,NK,Few,1,Q,0.619377,0,?
3,male,Adult,Few,1,S,0.619377,0,?
3,female,Teen,Few,1,Q,-0.419355,1,?
3,male,NK,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,Child,Few,1,S,0.619377,0,?
3,male,Adult,Few,1,S,0.619377,0,?
3,female,Adult,Few,1,Q,-0.419355,1,?
3,male,Adult,Few,1,S,0.619377,0,?
3,female,Teen,Few,1,S,-0.419355,1,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,female,NK,Few,1,Q,-0.419355,1,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,female,Teen,Few,1,Q,-0.419355,1,?
3,male,Adult,Few,1,Q,0.619377,0,?
3,male,Child,None,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Teen,Few,1,S,0.619377,0,?
3,female,NK,Few,1,Q,-0.419355,1,?
3,female,NK,Few,1,Q,-0.419355,1,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,female,Adult,Few,1,Q,-0.419355,1,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,female,Child,Few,1,Q,-0.419355,1,?
3,female,Adult,Few,1,Q,-0.419355,1,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,Child,Few,1,Q,0.619377,0,?
3,male,NK,Few,2,Q,0.619377,0,?
3,female,Child,Few,2,Q,-0.75,1,?
3,female,Adult,Many,2,S,0.230769,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,Teen,Few,2,S,0.230769,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,female,Adult,Few,2,S,0.230769,0,?
3,female,Child,Few,2,Q,-0.75,1,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,NK,Few,2,Q,0.619377,0,?
3,male,Adult,Few,2,Q,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,NK,Few,2,S,0.230769,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,female,NK,Few,2,S,0.230769,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,Teen,Few,2,Q,-0.75,1,?
3,female,Adult,Few,2,Q,-0.75,1,?
3,female,Child,Few,2,Q,-0.75,1,?
3,male,Child,Few,2,Q,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,Q,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Teen,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Child,Few,2,C,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,Adult,None,2,S,0.230769,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,Adult,Few,2,S,0.230769,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Teen,None,2,S,0.619377,0,?
3,female,Child,Few,2,S,0.230769,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,female,Teen,Few,2,S,0.230769,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,NK,Few,2,S,0.230769,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,NK,Few,2,S,0.619377,0,?
3,male,Adult,Few,2,S,0.619377,0,?
3,female,Child,Few,2,S,0.230769,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,male,Child,Few,2,S,0.619377,0,?
3,female,Child,Few,2,S,0.230769,0,?
3,female,Teen,None,2,C,-0.142857,1,?
3,female,NK,None,3,S,1,0,?
3,male,Adult,Few,3,S,0.619377,0,?
3,female,NK,Few,3,S,1,0,?
3,male,Teen,Few,3,S,0.619377,0,?
3,female,NK,Few,3,S,1,0,?
3,male,NK,Few,3,S,0.619377,0,?
3,male,Teen,Few,3,S,0.619377,0,?
3,male,Adult,Few,3,S,0.619377,0,?
3,male,Child,Few,3,S,0.619377,0,?
3,female,NK,Few,3,S,1,0,?
3,male,Teen,Few,3,S,0.619377,0,?
3,male,NK,Few,3,S,0.619377,0,?
3,male,Senior,None,3,S,0.619377,0,?
3,male,Adult,Few,3,S,0.619377,0,?
3,male,Adult,Few,3,S,0.619377,0,?
3,male,Adult,Few,3,S,0.619377,0,?
2,male,Adult,Few,3,Q,0.619377,0,?
2,male,NK,None,3,S,0.619377,0,?
2,male,NK,Few,3,S,0.619377,0,?
2,male,Adult,Few,3,S,0.619377,0,?
2,male,NK,Few,3,S,0.619377,0,?
2,female,NK,Few,3,S,-0.842105,1,?
2,male,Adult,Few,3,S,0.619377,0,?
2,male,NK,Few,3,S,0.619377,0,?
2,male,NK,Few,3,S,0.619377,0,?
2,male,Teen,Few,3,S,0.619377,0,?
2,male,Adult,Few,3,S,0.619377,0,?
2,male,Adult,Few,3,S,0.619377,0,?
2,male,Child,Few,3,Q,0.619377,0,?
2,male,NK,None,3,S,0.619377,0,?
2,male,NK,Few,3,S,0.619377,0,?
3,female,Adult,None,3,S,0.090909,0,?
3,female,Senior,None,3,S,-1,1,?
3,female,NK,None,3,S,1,0,?
2,male,Adult,Few,3,Q,0.619377,0,?
2,male,Adult,Few,3,Q,0.619377,0,?
2,male,Adult,Few,3,C,0.619377,0,?
2,male,Child,Few,3,S,0.619377,0,?
2,female,Teen,None,3,S,-0.842105,1,?
2,female,Adult,Few,3,S,-0.842105,1,?
2,male,Adult,Few,3,S,0.619377,0,?
